"","name","longitude","latitude","sample","event","year","month","day","time","country","state","county"
"71","Passerella iliaca",-68.46667,48.36667,"L4996390","S32130032",1983,7,184,5.58,"Canada","Quebec","Rimouski-Neigette"
"72","Passerella iliaca",-68.46667,48.36667,"L4996390","S32130033",1983,7,190,6.83,"Canada","Quebec","Rimouski-Neigette"
"73","Passerella iliaca",-68.46667,48.36667,"L4996390","S32130034",1983,7,197,6.75,"Canada","Quebec","Rimouski-Neigette"
"74","Passerella iliaca",-68.46667,48.36667,"L4996390","S32130035",1983,7,201,4,"Canada","Quebec","Rimouski-Neigette"
"75","Passerella iliaca",-68.46667,48.36667,"L4996390","S32130036",1983,7,209,0,"Canada","Quebec","Rimouski-Neigette"
"76","Passerella iliaca",-68.46667,48.36667,"L4996390","S32130037",1983,7,212,7,"Canada","Quebec","Rimouski-Neigette"
"77","Passerella iliaca",-68.46667,48.36667,"L4996390","S32130038",1983,6,153,13,"Canada","Quebec","Rimouski-Neigette"
"78","Passerella iliaca",-68.08333,48.23333,"L4996389","S32130039",1983,6,161,8,"Canada","Quebec","La Mitis"
"79","Passerella iliaca",-68.08333,48.23333,"L4996389","S32130040",1983,6,162,9,"Canada","Quebec","La Mitis"
"80","Passerella iliaca",-68.08333,48.23333,"L4996389","S32130041",1983,6,163,7.75,"Canada","Quebec","La Mitis"
"81","Passerella iliaca",-68.08333,48.23333,"L4996389","S32130042",1983,6,168,10,"Canada","Quebec","La Mitis"
"82","Passerella iliaca",-68.08333,48.23333,"L4996389","S32130044",1983,6,170,13.5,"Canada","Quebec","La Mitis"
"83","Passerella iliaca",-68.08333,48.23333,"L4996389","S32130045",1983,6,175,9,"Canada","Quebec","La Mitis"
"84","Passerella iliaca",-68.08333,48.23333,"L4996389","S32130049",1983,7,183,9.5,"Canada","Quebec","La Mitis"
"85","Passerella iliaca",-68.08333,48.23333,"L4996389","S32130050",1983,7,184,13.5,"Canada","Quebec","La Mitis"
"86","Passerella iliaca",-68.08333,48.23333,"L4996389","S32130051",1983,7,194,10,"Canada","Quebec","La Mitis"
"87","Passerella iliaca",-68.08333,48.23333,"L4996389","S32130052",1983,7,195,5.83,"Canada","Quebec","La Mitis"
