name,longitude,latitude
Passerella iliaca,-59.0625,48.5820584
Passerella iliaca,-52.8201199,47.4475647
Passerella iliaca,-56.1,52.42
Passerella iliaca,-53.8508223,48.3677849
Passerella iliaca,-53.567791,49.2706981
Passerella iliaca,-55.6433916,48.9584116
Passerella iliaca,-59.2900457,47.7420247
Passerella iliaca,-59.249226,47.843929
Passerella iliaca,-54.3946838,49.6300606
Passerella iliaca,-53.1116009,48.5245634
Passerella iliaca,-66.9193573,52.9500809
Passerella iliaca,-54.1150646,48.4283804
Passerella iliaca,-55.51099,51.50118
Passerella iliaca,-53.3270445,47.2489875
Passerella iliaca,-55.4795408,49.4535636
Passerella iliaca,-52.8936768,47.1665511
Passerella iliaca,-53.9852715,48.5327769
Passerella iliaca,-53.3276367,48.3966133
Passerella iliaca,-56.98576,51.4609
Passerella iliaca,-52.7911091,47.2237652
Passerella iliaca,-52.7893066,47.4514245
Passerella iliaca,-52.9298115,47.036731
Passerella iliaca,-55.97708,52.32063
Passerella iliaca,-53.2752972,47.6134309
Passerella iliaca,-52.913847,47.1962448
Passerella iliaca,-52.7316991,47.5787462
Passerella iliaca,-54.57685,49.26861
Passerella iliaca,-54.7913933,47.4311066
Passerella iliaca,-53.03298,46.749918
Passerella iliaca,-52.7893066,47.4514245
Passerella iliaca,-54.69969,48.96986
Passerella iliaca,-52.7893066,47.4514245
Passerella iliaca,-56.9267321,51.4874761
Passerella iliaca,-52.7598023,47.572733
Passerella iliaca,-57.255764,49.7621362
Passerella iliaca,-57.289962,49.777988
Passerella iliaca,-55.56869,51.48993
Passerella iliaca,-53.9659595,47.821454
Passerella iliaca,-53.172041,46.6314318
Passerella iliaca,-52.6453686,47.5207221
Passerella iliaca,-54.4030523,47.8386826
Passerella iliaca,-52.8046857,47.4516261
Passerella iliaca,-56.9623518,51.5023733
Passerella iliaca,-58.6669922,48.5711553
Passerella iliaca,-52.8936768,47.1665511
Passerella iliaca,-52.6599813,47.5225334
Passerella iliaca,-56.39069,51.85728
Passerella iliaca,-53.97608,47.26921
Passerella iliaca,-52.7893066,47.4514245
Passerella iliaca,-59.2278314,47.7782997
Passerella iliaca,-60.4031754,53.3357934
Passerella iliaca,-52.8420045,47.191083
Passerella iliaca,-60.3658605,46.752976
Passerella iliaca,-60.454073,46.9769144
Passerella iliaca,-60.47388,46.96972
Passerella iliaca,-60.8214068,46.7473597
Passerella iliaca,-65.7507491,43.46722
Passerella iliaca,-60.9267531,46.7231397
Passerella iliaca,-64.4079065,44.235299
Passerella iliaca,-60.46057,46.82443
Passerella iliaca,-66.01459,43.40956
Passerella iliaca,-60.8863296,46.7406925
Passerella iliaca,-65.7507491,43.46722
Passerella iliaca,-65.7982571,43.5955112
Passerella iliaca,-65.7507491,43.46722
Passerella iliaca,-60.6472,46.6594
Passerella iliaca,-65.7507491,43.46722
Passerella iliaca,-66.01459,43.40956
Passerella iliaca,-62.4650002,44.8337174
Passerella iliaca,-65.7507491,43.46722
Passerella iliaca,-65.7507491,43.46722
Passerella iliaca,-65.7507491,43.46722
Passerella iliaca,-65.7507491,43.46722
Passerella iliaca,-60.8869171,46.7462129
Passerella iliaca,-65.7507491,43.46722
Passerella iliaca,-85.4273822,54.9923031
Passerella iliaca,-83.7823244,54.9013244
Passerella iliaca,-90.0733508,55.061297
Passerella iliaca,-84.3186733,55.2426492
Passerella iliaca,-80.6362152,51.2739442
Passerella iliaca,-84.981882,53.7825131
Passerella iliaca,-80.23824,49.7609
Passerella iliaca,-83.8806807,52.8046542
Passerella iliaca,-88.6833184,55.154837
Passerella iliaca,-87.69814,56.03121
Passerella iliaca,-84.9722844,53.7999084
Passerella iliaca,-85.418012,55.019128
Passerella iliaca,-82.9793877,54.8776491
Passerella iliaca,-87.0246784,53.2654177
Passerella iliaca,-84.3186733,55.2426492
Passerella iliaca,-90.0813686,55.0796051
Passerella iliaca,-81.5971903,52.4455398
Passerella iliaca,-92.4534059,52.6856876
Passerella iliaca,-83.079529,54.753161
Passerella iliaca,-83.5231601,53.520242
Passerella iliaca,-80.7521503,49.5387826
